date,name,category,value
2020-06-21,LTC,Ltc,43.56
2020-06-22,BNB,CeFi,15.969
2020-06-22,ETH,DeFi,228.05
2020-06-22,LINK,Link,4.181
2020-06-22,LTC,Ltc,43.035
2020-06-23,BNB,CeFi,16.499
2020-06-23,ETH,DeFi,243.24
2020-06-23,LINK,Link,4.4825
2020-06-23,LTC,Ltc,44.305
2020-06-24,BNB,CeFi,16.383
2020-06-24,ETH,DeFi,243.13
2020-06-24,LINK,Link,4.8035
2020-06-24,LTC,Ltc,44.18
2020-06-25,BNB,CeFi,15.99
2020-06-25,ETH,DeFi,234.66
2020-06-25,LINK,Link,4.7085
2020-06-25,LTC,Ltc,42.6
2020-06-26,BNB,CeFi,15.903
2020-06-26,ETH,DeFi,232.5
2020-06-26,LINK,Link,4.8105
2020-06-26,LTC,Ltc,42.375
2020-06-27,BNB,CeFi,15.765
2020-06-27,ETH,DeFi,229.66
2020-06-27,LINK,Link,4.6805
2020-06-27,LTC,Ltc,43.115
2020-06-28,BNB,CeFi,15.128
2020-06-28,ETH,DeFi,220.89
2020-06-28,LINK,Link,4.4035
2020-06-28,LTC,Ltc,41.04
2020-06-29,BNB,CeFi,15.369
2020-06-29,ETH,DeFi,225.01
2020-06-29,LINK,Link,4.563
2020-06-29,LTC,Ltc,41.355
2020-06-30,BNB,CeFi,15.474
2020-06-30,ETH,DeFi,227.95
2020-06-30,LINK,Link,4.618
2020-06-30,LTC,Ltc,41.86
2020-07-01,BNB,CeFi,15.404
2020-07-01,ETH,DeFi,225.59
2020-07-01,LINK,Link,4.5645
2020-07-01,LTC,Ltc,41.175
2020-07-02,BNB,CeFi,15.815
2020-07-02,ETH,DeFi,231.07
2020-07-02,LINK,Link,4.704
2020-07-02,LTC,Ltc,41.735
2020-07-03,BNB,CeFi,15.359
2020-07-03,ETH,DeFi,226.47
2020-07-03,LINK,Link,4.7975
2020-07-03,LTC,Ltc,41.04
2020-07-04,BNB,CeFi,15.284
2020-07-04,ETH,DeFi,224.84
2020-07-04,LINK,Link,4.729
2020-07-04,LTC,Ltc,41.11
2020-07-05,BNB,CeFi,15.53
2020-07-05,ETH,DeFi,229.27
2020-07-05,LINK,Link,4.8165
2020-07-05,LTC,Ltc,42.095
2020-07-06,BNB,CeFi,15.497
