date,name,category,value
2021-04-09,BNB,CeFi,418.4
2021-04-09,ETH,DeFi,2080.6
2021-04-09,LINK,Link,32.7765
2021-04-09,LTC,Ltc,226.27
2021-04-10,BNB,CeFi,453.899
2021-04-10,ETH,DeFi,2067.1
2021-04-10,LINK,Link,31.575
2021-04-10,LTC,Ltc,221.115
2021-04-11,BNB,CeFi,471.399
2021-04-11,ETH,DeFi,2133.9
2021-04-11,LINK,Link,31.932
2021-04-11,LTC,Ltc,256.245
2021-04-12,BNB,CeFi,525.774
2021-04-12,ETH,DeFi,2151.5
2021-04-12,LINK,Link,33.912
2021-04-12,LTC,Ltc,252.505
2021-04-13,BNB,CeFi,597.0
2021-04-13,ETH,DeFi,2137.6
2021-04-13,LINK,Link,33.1005
2021-04-13,LTC,Ltc,244.65
2021-04-14,BNB,CeFi,550.8
2021-04-14,ETH,DeFi,2299.5
2021-04-14,LINK,Link,35.506
2021-04-14,LTC,Ltc,267.405
2021-04-15,BNB,CeFi,549.307
2021-04-15,ETH,DeFi,2433.0
2021-04-15,LINK,Link,41.35
2021-04-15,LTC,Ltc,279.085
2021-04-16,BNB,CeFi,541.638
2021-04-16,ETH,DeFi,2514.7
2021-04-16,LINK,Link,42.5755
2021-04-16,LTC,Ltc,285.89
2021-04-17,BNB,CeFi,508.597
2021-04-17,ETH,DeFi,2423.6
2021-04-17,LINK,Link,41.9815
2021-04-17,LTC,Ltc,308.85
2021-04-18,BNB,CeFi,514.6
2021-04-18,ETH,DeFi,2317.6
2021-04-18,LINK,Link,39.876
2021-04-18,LTC,Ltc,299.74
2021-04-19,BNB,CeFi,481.4
2021-04-19,ETH,DeFi,2236.6
2021-04-19,LINK,Link,39.075
2021-04-19,LTC,Ltc,273.305
2021-04-20,BNB,CeFi,504.2
2021-04-20,ETH,DeFi,2161.5
2021-04-20,LINK,Link,35.7085
2021-04-20,LTC,Ltc,260.955
2021-04-21,BNB,CeFi,588.401
2021-04-21,ETH,DeFi,2330.0
2021-04-21,LINK,Link,38.974
2021-04-21,LTC,Ltc,260.4
2021-04-22,BNB,CeFi,543.801
2021-04-22,ETH,DeFi,2357.1
2021-04-22,LINK,Link,36.254
2021-04-22,LTC,Ltc,257.915
2021-04-23,BNB,CeFi,504.698
2021-04-23,ETH,DeFi,2399.6
2021-04-23,LINK,Link,35.127
2021-04-23,LTC,Ltc,252.825
2021-04-24,BNB,CeFi,526.6
2021-04-24,ETH,DeFi,2368.0
2021-04-24,LINK,Link,35.2
2021-04-24,LTC,Ltc,241.37
2021-04-25,BNB,CeFi,496.8
2021-04-25,ETH,DeFi,2214.0
2021-04-25,LINK,Link,31.2505
2021-04-25,LTC,Ltc,224.87
2021-04-26,BNB,CeFi,505.998
2021-04-26,ETH,DeFi,2320.0
2021-04-26,LINK,Link,31.7
2021-04-26,LTC,Ltc,223.7
2021-04-27,BNB,CeFi,534.904
2021-04-27,ETH,DeFi,2532.3
2021-04-27,LINK,Link,35.125
2021-04-27,LTC,Ltc,247.525
2021-04-28,BNB,CeFi,569.1
2021-04-28,ETH,DeFi,2665.8
2021-04-28,LINK,Link,36.7665
2021-04-28,LTC,Ltc,260.095
2021-04-29,BNB,CeFi,562.318
2021-04-29,ETH,DeFi,2748.2
2021-04-29,LINK,Link,36.219
2021-04-29,LTC,Ltc,258.22
2021-04-30,BNB,CeFi,599.8
2021-04-30,ETH,DeFi,2757.8
2021-04-30,LINK,Link,36.448
2021-04-30,LTC,Ltc,255.275
2021-05-01,BNB,CeFi,622.335
2021-05-01,ETH,DeFi,2772.8
2021-05-01,LINK,Link,38.097
2021-05-01,LTC,Ltc,270.85
2021-05-02,BNB,CeFi,619.801
2021-05-02,ETH,DeFi,2946.0
2021-05-02,LINK,Link,41.254
